specification,accuracy,f1,roc_auc,positive_share,cv_f1_mean,cv_f1_sd
naive P75,0.9302659956865564,0.8353140916808149,0.9653985904556419,0.22483824586628326,0.8022122055714072,0.019259153829380246
count P75,0.9151689432063264,0.8078175895765473,0.9266983586928816,0.22483824586628326,0.768404248937961,0.02542299313138982
count P70,0.8892882818116463,0.7680722891566265,0.9029431011265122,0.25718907260963336,0.7655478172030266,0.017095230327749143
count P80,0.9223580158159598,0.7777777777777778,0.9249036495861122,0.19051042415528396,0.7962274992503335,0.011243974837089422
per-capita; count settings,0.8130841121495327,0.5899053627760252,0.8175080724259154,0.25,,
per-capita; re-tuned,0.809489575844716,0.5929339477726574,0.8168027683186211,0.25,0.6029126076661532,0.02318580187008968
