mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4304924488067627,0.03720136072653328,0.03836979866027832,0.0011997771042126404,,1,300,0.5861027190332326,0.5530546623794212,0.5370370370370371,0.5093167701863354,0.5482866043613707,0.5467595585994794,0.024844855817487944,12
2.814639377593994,0.0839656830311935,0.07328071594238281,0.0008355189833699515,,1,600,0.5885885885885885,0.5559105431309904,0.5460122699386503,0.515527950310559,0.5391849529780565,0.5490448609893689,0.023835442851496715,11
1.2502843379974364,0.04281686922167801,0.03292388916015625,0.00102102041409021,,5,300,0.6321243523316062,0.5824175824175825,0.601063829787234,0.5767195767195767,0.5633074935400517,0.5911265669592103,0.02381963989386074,7
2.4664672374725343,0.11809973702628436,0.06147456169128418,0.001366090790348039,,5,600,0.6321243523316062,0.5792349726775956,0.5957446808510638,0.5729442970822282,0.5535248041775457,0.5867146214240079,0.02642240178733846,8
1.1147035598754882,0.053616093162955465,0.0273496150970459,0.0016582841125709405,8,1,300,0.6294416243654822,0.5853658536585366,0.6,0.6015831134564644,0.5684754521963824,0.5969732087353731,0.020156703699077523,3
2.1976781368255613,0.0879761016054704,0.050351524353027345,0.0030782504066036867,8,1,600,0.6377551020408163,0.5846994535519126,0.5931758530183727,0.6073298429319371,0.5604113110539846,0.5966743125194046,0.025580513433188463,4
1.0679065227508544,0.038943223349946314,0.026894664764404295,0.0025889811856928623,8,5,300,0.6310679611650486,0.6141732283464567,0.5912596401028277,0.6055979643765903,0.5586034912718204,0.6001404570525487,0.024443412212584555,2
2.1631939888000487,0.127391185382287,0.050880956649780276,0.002523739064836194,8,5,600,0.6341463414634146,0.6113989637305699,0.5958549222797928,0.6095717884130982,0.5635910224438903,0.6029126076661532,0.02318580187008968,1
1.3716498374938966,0.04407791115171871,0.0376741886138916,0.004263763899742214,14,1,300,0.6005830903790087,0.573208722741433,0.5637982195845698,0.525679758308157,0.5269461077844312,0.55804317975952,0.02859082757214502,10
2.6731048583984376,0.10005412560515868,0.06733222007751465,0.0010554701624001315,14,1,600,0.6064139941690962,0.5714285714285714,0.5568862275449101,0.5317220543806647,0.5301204819277109,0.5593142658901906,0.028229925011818556,9
1.2257643699645997,0.054044679059269005,0.030994749069213866,0.001163202936127351,14,5,300,0.631578947368421,0.592391304347826,0.5941644562334217,0.5894736842105263,0.561038961038961,0.5937294706398312,0.02245592984588345,5
2.491395092010498,0.14870102100395266,0.05988998413085937,0.0009374617002260039,14,5,600,0.6351706036745407,0.5885558583106267,0.5963060686015831,0.5851063829787234,0.5595854922279793,0.5929448811586907,0.024445300685900635,6
