model,split_seed,auc,accuracy,f1,recall,specificity,precision,pr_auc,brier,n_train,n_test,prevalence,majority_accuracy,always_positive_f1,brier_reference,auc_ci_low,auc_ci_high
count,42,0.9266983586928816,0.9151689432063264,0.8078175895765473,0.792332268370607,0.950834879406308,0.8239202657807309,0.8790913784733929,0.07373904442920062,4173,1391,0.22501797268152407,0.774982027318476,0.3673708920187793,0.17438488465182098,0.9059656136459378,0.9445820342968488
count,2026,0.9190993853248531,0.9029475197699497,0.773109243697479,0.7348242811501597,0.9517625231910947,0.8156028368794326,0.8496197052612908,0.08090980545733706,4173,1391,0.22501797268152407,0.774982027318476,0.3673708920187793,0.17438488465182098,0.8985392162853225,0.938089021645232
percap,42,0.8168027683186211,0.809489575844716,0.5929339477726574,0.5545977011494253,0.8945349952061361,0.636963696369637,0.7004408508928418,0.14604350837847915,4173,1391,0.2501797268152408,0.7498202731847592,0.4002300172512938,0.18758983110589228,0.7901703662647814,0.844814478786391
percap,2026,0.8252306013819553,0.8023005032350827,0.5901639344262295,0.5689655172413793,0.8801534036433365,0.6130030959752322,0.695939248040486,0.1457774147028581,4173,1391,0.2501797268152408,0.7498202731847592,0.4002300172512938,0.18758983110589228,0.7991126197767919,0.8492561900478253
presence,42,0.8491982059208077,0.7958303378864127,0.7269230769230769,0.6897810218978102,0.8647686832740213,0.7682926829268293,0.8412181073689139,0.14659987038965433,4173,1391,0.393961179007908,0.6060388209920919,0.5652398143372873,0.23875576844260704,0.8275183967508803,0.8692100190047622
presence,2026,0.8438276575663906,0.7872034507548527,0.7069306930693069,0.6514598540145985,0.8754448398576512,0.7727272727272727,0.8345342258931232,0.14929615503994315,4173,1391,0.393961179007908,0.6060388209920919,0.5652398143372873,0.23875576844260704,0.8205272963254222,0.8652405717427207
slp,42,0.8098213596940743,0.7232207045291158,0.5764576457645765,0.7528735632183908,0.713326941514861,0.46702317290552586,0.6226691015455225,0.17574756290557586,4173,1391,0.2501797268152408,0.7498202731847592,0.4002300172512938,0.18758983110589228,0.7822613022582213,0.8347685796352355
slp,2026,0.7799368532416437,0.6923076923076923,0.5337690631808278,0.7040229885057471,0.6883988494726749,0.4298245614035088,0.5800285649305676,0.18904054443387164,4173,1391,0.2501797268152408,0.7498202731847592,0.4002300172512938,0.18758983110589228,0.751973022727951,0.8077589547535584
