MUNICIP_ID,GDP_PER_CAP,POP_2024,POP_DENSITY,FIBER_PER_100,LTE_ACCESS_PER_100,NR_ACCESS_PER_100,AVG_DL_SPEED,NR_STATION_CNT,NR_PER_100K_POP,SLP_PER_100K_POP,HIGH_NR_P70,HIGH_NR_P75,HIGH_NR_P80,HIGH_SLP,REGION_North,REGION_Northeast,REGION_South,REGION_Southeast
1100015,32138.756399597427,22853.0,3.04,116.33045989585612,79.12309106025467,0.0,48.776754521963824,0.0,0.0,472.5856561501772,0,0,0,0,True,False,False,False
1100023,29577.27980252917,108573.0,21.88,161.91686699271457,57.50048354563289,40.03942048207197,98.78443376893875,87.0,80.13041916498577,711.0423401766553,1,1,1,0,True,False,False,False
1100031,41900.527240773285,5690.0,4.07,229.24428822495605,50.298769771528995,19.121265377855888,26.61752052545156,12.0,210.896309314587,1230.2284710017575,1,1,0,0,True,False,False,False
1100049,28600.89924926001,97637.0,22.91,180.76036748363836,59.44365353298442,42.097770312483995,92.33538108621973,51.0,52.2342964245112,317.502586109774,1,1,1,0,True,False,False,False
1100056,43773.902798232695,16975.0,5.71,71.85272459499264,68.26509572901325,33.349042709867454,42.93951079136691,9.0,53.01914580265096,1060.3829160530192,1,0,0,0,True,False,False,False
1100064,25611.64697371594,16588.0,10.79,106.99300699300699,92.96479382686279,0.0,66.66772743238496,0.0,0.0,1410.6583072100314,0,0,0,0,True,False,False,False
1100072,49586.30171228597,8001.0,2.46,85.0893638295213,71.61604799400075,0.0,11.969358974358974,0.0,0.0,1624.7969003874516,0,0,0,1,True,False,False,False
1100080,23419.02085490312,13522.0,2.53,82.70965833456589,40.4304097027067,13.348617068480994,22.08144927536232,9.0,66.55820144948972,695.1634373613371,1,0,0,0,True,False,False,False
1100098,23638.230889140203,32717.0,6.51,55.717211235749,71.473545863007,0.0,69.87264957264958,0.0,0.0,323.99058593391817,0,0,0,0,True,False,False,False
1100106,24206.254448602853,43553.0,1.58,105.9054485339701,56.53112299956375,19.1421945675384,33.34414755351682,6.0,13.776318508483916,583.1974835258192,0,0,0,0,True,False,False,False
1100114,31749.239875501506,55583.0,17.18,163.1290142669521,60.721803429106025,37.72016623787849,39.63711056309084,12.0,21.589334868574923,694.4569382724934,1,1,0,0,True,False,False,False
1100122,30355.807662224903,139359.0,18.03,180.22373868928452,60.110218930962475,39.364518976169464,94.20251224431,117.0,83.9558263190752,770.6714313392031,1,1,1,0,True,False,False,False
1100130,26137.421836009747,34063.0,3.61,138.84273258374188,75.70384287937058,0.0,61.05875306051067,0.0,0.0,716.3197604438834,0,0,0,0,True,False,False,False
1100148,33316.34755210858,16504.0,9.21,235.72467280659234,90.74769752787203,0.0,73.7997510568342,0.0,0.0,4071.7401841977703,0,0,0,1,True,False,False,False
1100155,25491.740130813578,38681.0,17.79,124.73565833354877,63.55316563687599,35.679015537343915,83.40289952485804,15.0,38.77872857475246,811.7680514981515,1,1,1,0,True,False,False,False
1100189,42061.326914705656,39053.0,5.62,121.63470155941926,59.57800937187924,34.112616188256986,64.88303614154388,42.0,107.54615522495071,1428.8274908457736,1,1,1,0,True,False,False,False
1100205,38953.56330590262,514873.0,13.51,162.15765829631772,69.16909606835084,44.883495541619,130.46103421334738,858.0,166.64303624388927,5047.069859946045,1,1,1,1,True,False,False,False
1100254,27303.34340579004,20518.0,10.99,209.41124865971344,82.31796471390973,0.0,68.00818546078993,0.0,0.0,614.0949410273906,0,0,0,0,True,False,False,False
1100262,49141.48681055156,3753.0,2.02,26.485478284039434,83.77298161470823,0.0,49.96514731369151,0.0,0.0,10711.430855315748,0,0,0,1,True,False,False,False
1100288,25020.236896369828,62559.0,38.69,156.18695951022235,60.554036989082306,28.69770936236193,73.7931325058028,15.0,23.977365367093462,655.381320033888,1,1,1,0,True,False,False,False
1100296,27115.65316744953,7877.0,6.19,65.51986797003936,70.92801828107147,15.132664720071093,60.8637294332724,9.0,114.25669671194618,1320.2996064491558,1,0,0,0,True,False,False,False
1100304,38841.976264189885,108528.0,8.19,132.31332006486807,62.56081379920389,42.50700280112045,107.83180853399692,93.0,85.6921716054843,3468.2293970219666,1,1,1,1,True,False,False,False
1100320,40658.41828715139,22267.0,2.9,100.4715498270984,84.3804733462074,0.0,51.26199341021417,0.0,0.0,2029.9097318902411,0,0,0,1,True,False,False,False
1100338,26062.81583380124,28496.0,2.53,83.87843907916901,60.324256035934866,0.0,78.28863549980996,0.0,0.0,210.55586749017405,0,0,0,0,True,False,False,False
1100346,25484.570354845702,13837.0,4.33,279.48977379489776,71.90865071908651,0.0,45.62028481012658,0.0,0.0,650.4300065043001,0,0,0,0,True,False,False,False
1100379,39441.57220908424,12263.0,2.9,87.13202315909646,70.18674060181033,0.0,59.86197767145136,0.0,0.0,260.94756584848733,0,0,0,0,True,False,False,False
1100403,29246.979327721467,17463.0,6.15,89.91582202370726,69.7131077134513,0.0,53.80147796988288,0.0,0.0,1213.995304357785,0,0,0,0,True,False,False,False
1100452,31454.19636174298,30729.0,8.57,193.93732304988774,98.38914380552572,5.011552605031079,47.14475234842015,9.0,29.28829444498682,566.2403592697452,1,0,0,0,True,False,False,False
1100502,28736.46971201589,8056.0,9.09,246.487090367428,75.37239324726912,0.0,20.35500680272109,0.0,0.0,918.5700099304865,0,0,0,0,True,False,False,False
1100601,63368.92980437284,4345.0,2.12,136.27157652474108,49.25201380897583,21.127733026467205,61.977,9.0,207.13463751438434,1150.7479861910242,1,0,0,0,True,False,False,False
1100700,40013.766937669374,9225.0,2.57,89.38753387533875,40.72628726287263,0.0,58.33312859884837,0.0,0.0,780.4878048780488,0,0,0,0,True,False,False,False
1100809,27131.109547655506,24163.0,3.26,66.77978727806978,85.58126060505732,0.0,42.656127744510975,0.0,0.0,1390.5558084674917,0,0,0,0,True,False,False,False
1100908,28827.256944444445,3456.0,3.62,185.53240740740742,56.59722222222222,0.0,68.81282051282051,0.0,0.0,520.8333333333334,0,0,0,0,True,False,False,False
1100924,46282.25886069701,10129.0,1.82,45.83868101490769,57.537762859117386,24.938295981834337,55.30204918032787,15.0,148.08964359759108,4126.764734919538,1,1,1,1,True,False,False,False
1100940,30709.31184285085,15883.0,3.85,99.79223068689794,71.02562488194926,0.0,73.38116728624536,0.0,0.0,1322.1683561040106,0,0,0,0,True,False,False,False
1101005,28424.10926365796,8420.0,1.58,33.02850356294537,70.61757719714964,0.0,26.43019696969697,0.0,0.0,1021.3776722090262,0,0,0,0,True,False,False,False
