replication,status,const,GDP_PER_CAP,POP_DENSITY,FIBER_PER_100,LTE_ACCESS_PER_100,REGION_North,REGION_Northeast,REGION_South,REGION_Southeast,clogpop,alpha
1,valid,-7.0572619040997004,0.0658337305768233,0.26220806599631896,0.0968049013239928,0.03207544271817628,0.026432836135831774,0.10281574199067953,0.10770217004513925,0.08247356560782844,-0.19504106665078258,0.7504125664056857
2,valid,-7.056999041959385,0.0849897874825815,0.201129857796829,0.11342574098699541,0.011020503984062962,-0.035284694969339205,0.07804948363132073,0.1686470872305208,0.052153165685163774,-0.11247677525212578,0.6395348610391667
3,valid,-7.113847946183096,0.08359263104212501,0.2231618608967363,0.1418919594600245,0.08025098202983934,-0.01640310135434106,0.004739551160652069,0.07146983555931004,-0.043449968561281284,-0.10706627422877057,0.5531400176874643
4,valid,-7.04519518696139,0.12317872447122227,0.40803834670039874,0.12190188064685366,0.08209887204258906,0.06479473001359468,0.01654831147206954,0.09236675631967871,0.08001980129775284,-0.21737638529076364,0.7513348739348881
7,valid,-7.05699429622552,0.13921756442273583,0.18324824189774125,0.10808025389706985,0.06263001358873074,-0.03009218585786695,0.0575172700657872,0.14220147035450775,0.019347715922233687,-0.1160173721341588,0.6352379783886353
8,valid,-6.983393346492856,0.09459963005931388,0.13561615761544754,0.15225829128163565,0.018278244074076626,0.011711410140915505,0.16556652496345503,0.2931007513183489,0.0355681387649434,-0.07861768485975583,0.580065630482229
9,valid,-6.991606104121894,0.09157871262172843,0.16473320357997392,0.1280415596723449,0.06179299905170474,-0.04588655736137671,0.19223696900155118,0.18295505240134108,-0.015267891852358276,-0.11091261217008111,0.5887278734137769
10,valid,-7.034810130630732,0.09103202251869484,0.24653800653163416,0.115702188457589,-0.001869137418074133,-0.021292311692378805,0.04722249224955344,0.13463499442435847,0.008332657318223267,-0.1823217103123352,0.7263161915566873
11,valid,-7.036882815603627,0.09211582678799303,0.11043456377035633,0.15222898480572822,0.012972425215237273,0.015689086935677127,0.05969259434714194,0.31246591467587714,0.02500185398823341,-0.025824018455803198,0.5609150543114416
12,valid,-7.11426597528909,0.08295703458242877,0.16250498624322343,0.1501878901336666,0.02232325281989576,-0.02304804153051562,0.028639939322936576,0.24189998505853663,0.026659705104455193,-0.08275760033867029,0.6495941578139162
13,valid,-7.155875220155872,0.08798493031636952,0.1261712994781187,0.20165952422809605,0.041886519579491834,0.06895654103416357,0.15332743919825378,0.2530360869136612,0.08057780276654984,-0.03593908278235631,0.5298909448797047
14,valid,-7.102506125703329,0.11121479472184788,0.21570092526281087,0.09781526960361217,0.043387123024280515,-0.034254292565887724,-0.09768748588862247,0.06002400072361105,-0.03584214477638218,-0.13290344709796298,0.669336269894489
15,valid,-7.126656109188815,0.09206321152653762,0.24031805959413383,0.1257115641006673,0.0656689856273669,0.044014551033993043,0.15630672760029696,0.18022892041939637,0.09654109919049443,-0.16264097466410735,0.7842549618442888
16,valid,-7.061528310670691,0.10292839272644942,0.4486064180912149,0.12571451572665032,0.004389827812248668,0.0006496799848027169,-0.006963564977299265,0.12682174608012778,-0.00415860804073194,-0.1861710962956351,0.5420194538848068
17,valid,-7.034407443615912,0.1067521318840129,0.2410034868178108,0.08914881032130122,-0.0029674649811400836,0.011219686591945376,0.014042476485221384,0.20567897939692342,0.06422744044351661,-0.17673364117610646,0.6879987271295083
18,valid,-7.097508283314826,0.08255707356517651,0.1639275170951394,0.14631824451817402,0.07312927245662698,-0.04746055592687822,0.0646403946606632,0.09971167611667005,-0.028546863139149784,-0.08734978416983522,0.5410359930226957
19,valid,-7.054676066321338,0.08623910728214415,0.2875899037078821,0.0977318187031894,0.005239979031354611,-0.028996539034849184,-0.017312432174740627,0.12125425291793718,0.03248212407661346,-0.20659711126604563,0.7837557609373712
20,valid,-7.145907240497763,0.0991408733699027,0.24270513190101764,0.1257653136428398,0.06440669630834213,-0.035278101044250956,4.38728398823913e-05,0.16600514477916906,0.0241741499325966,-0.12386591360058903,0.6425347074568019
21,valid,-7.118426536685614,0.0897622207233168,0.2315573921228651,0.15087938270975484,0.05777246492802942,-0.05582125649524119,-0.026769995045718146,0.12347500044730078,-0.02081114134056294,-0.1161413581982661,0.6681402407279249
22,valid,-7.025010352483424,0.12179118889961903,0.20456110085093643,0.17178139891101185,0.018770334330200433,0.038364443374283505,0.14413071923799065,0.2908448709200736,0.07151123954246628,-0.1278856329234001,0.606160675591787
23,valid,-7.028485127685652,0.0770329016291182,0.33064267873893444,0.12042990750720525,0.03610526353008443,-0.004261511916022278,0.04876990024370874,0.08740466400499455,0.06309336705520499,-0.18443099962242376,0.7630098022147312
24,valid,-7.044986281589867,0.09180252110931819,0.31893208345844215,0.12611292388433767,0.006423692349168554,0.004886251908614241,0.12264637153294776,0.26006528029412784,0.05734162832962783,-0.20195684770488567,0.708269065238882
25,valid,-7.112543011863009,0.07658782121381365,0.11841877142561723,0.14250770431728563,0.04008564340589433,-0.04757325031081451,0.12256716117785146,0.12708149489917736,0.02925733059934525,-0.0332134861620029,0.591631412770952
26,valid,-7.016687566681309,0.10068707479078355,0.4834434357118842,0.09606348403393794,-0.011223300953137673,-0.03704307946241858,0.003821058896127945,0.055097317742618286,0.0474682366693681,-0.2639527183544667,0.7629498561438307
27,valid,-7.125308741201941,0.1090787108303216,0.1629413505262386,0.169206778412569,0.12788041201244002,-0.0318401016720145,0.03713826571836988,0.14365110458044547,-0.021298711550303284,-0.04970886461053281,0.5656426750993065
28,valid,-7.064791650058881,0.10610453817060495,0.13922458742894378,0.15078346785639016,0.08330017733519161,0.02264022993359793,0.10634173587685734,0.1766073706241116,0.030445128121517877,-0.037181573724018945,0.5581911754444661
29,valid,-7.117504517270141,0.0782171093534137,0.21560724846709434,0.11896937811371378,0.10354135762816258,-0.007511954568429154,0.07782881760428455,0.057871153752310674,0.015489254642683982,-0.12739628098867942,0.7128884114157237
30,valid,-7.044399807488437,0.0635336893049526,0.5474950165621044,0.12288794566173208,0.025268820784022764,-0.02860087576084312,-0.019428318384010622,0.07090053225246194,0.04397407498741966,-0.22985465125408294,0.6603742321854948
31,valid,-7.110638639977278,0.1408792433406951,0.1894200153636368,0.12691288150147984,0.05295790430112334,0.016128584385637735,0.14137285532741362,0.24750200545930165,0.10234171221089919,-0.09799899728036522,0.6662240068163341
32,valid,-7.069792408127723,0.09967111036577901,0.39775799111285626,0.12302754827939433,0.07456145923509767,-0.03580929447090272,0.011235736096010614,0.05047317345528595,-0.06267239701110508,-0.2060585010180646,0.7103998054661776
33,valid,-7.0993864700755305,0.1061189098316191,0.3115859950481394,0.11283231472342191,0.14467372820883606,-0.031395557075679176,-0.005440256392146741,0.05903983204108013,0.007716356590513258,-0.17289752372515946,0.7578592837059195
34,valid,-7.02849421760178,0.10781208697233183,0.3822391349482753,0.12334023599591196,0.009999887516854343,-0.06980875153563083,-0.0033997311130547674,0.058516992095824984,-0.022427764443379582,-0.18464675010598658,0.6334786580596491
35,valid,-7.091036296729698,0.09867094922033094,0.11136129373119714,0.13625639196986783,0.029923002088387367,0.017770273479058688,0.12326350589329385,0.4188106729531019,0.12233892973692648,-0.005378515692328538,0.5236017912937105
36,valid,-6.953676776080326,0.10421012612977923,0.37330309489241986,0.14619354992040914,-0.04163217074258306,0.013870873820446458,0.07716419881823122,0.1730929441638721,0.26040834441201793,-0.2324521582999289,0.725165014442338
37,valid,-7.056546490394757,0.05857067547328234,0.28760940903590415,0.14353350618386165,0.16900607860319533,-0.05574790351929537,0.0826848292079767,0.03752466131435141,0.02698923911138358,-0.10931704556031935,0.6936630240860153
38,valid,-7.095467712431102,0.08467118381244,0.24322780268671357,0.14096465386838578,0.044363141696823045,0.025742566530529747,0.018877884418951538,0.16891823915581952,-0.011879584574377005,-0.152968619514426,0.618459469289307
39,valid,-7.012856413626668,0.10908499191918399,0.28139538349807325,0.12279109905218981,-0.048349704519165926,-0.02341083614985829,0.0545993857806883,0.20446671305943045,0.09091752875724762,-0.1604134777239054,0.6860835585042855
40,valid,-7.100795392429787,0.09352647290518304,0.1746789545707136,0.15348891210787138,0.0929936676068375,-0.03612406504567279,0.10304948088924756,0.1720085870281283,0.021137338912582727,-0.07508087706207539,0.5229441355881521
41,valid,-7.022489795133152,0.09361233305813806,0.24605714982051488,0.08098824689101664,-0.012666342975325673,-0.021005327945729763,0.054838704408686025,0.13916444002076642,0.06100648225315005,-0.20198858443076265,0.8194105501196616
42,valid,-7.078991651823201,0.0792444482401099,0.13811414386385681,0.19011214715306846,0.07189100627711786,-0.032298814618123846,0.16993692168000873,0.19789765922315614,0.0492936503622057,-0.024135949812401296,0.5405190899830442
43,valid,-7.0188220246229225,0.10528943996876854,0.1560376317571134,0.14244213592763094,0.03619800897967535,-0.03214715719277177,0.10199313331542638,0.19084438635798284,-0.014948017914057945,-0.09149420528397417,0.5792222945267932
44,valid,-7.061725785520977,0.10080966932413142,0.2335946542296748,0.15048603780042336,0.05003228548990029,0.018269534550765038,0.2148260089236366,0.2207237817153203,0.07511241710199924,-0.1678800096281792,0.6413454236305073
45,valid,-7.031121147389415,0.07010904928918445,0.2860324826312794,0.19839199670895047,0.23701595335669637,-0.021024913998813146,0.10422039693818753,0.08715436301981581,0.12180032793864044,-0.09435785592877867,0.5957616340073962
46,valid,-7.079517713943062,0.09188564094991446,0.2816241591178229,0.1307283673755367,-0.06769370417444875,0.05407211457994718,-0.002319844373608619,0.22366772570470872,0.1713682279545222,-0.18040018202397134,0.759621343797357
47,valid,-7.1179416540812,0.11983708822195686,0.1253580293731859,0.13398574466557067,0.02210812171583953,-0.023150528254108488,-0.009751764518742136,0.19971446583784921,-0.00926725274529704,-0.04559292186904672,0.48588320694884135
49,valid,-6.9711825790725435,0.09919223242702681,0.43885884069500936,0.20823451307277563,0.020318600091864574,0.0029733658388860816,0.030442510445862048,0.15549868106265363,0.056152309206218345,-0.22780909341052216,0.5828727326806484
50,valid,-7.014109988025252,0.08677128467796962,0.4945020951311495,0.11265249887556954,-0.026602044817449464,-0.027948750480197602,0.009974455638248015,0.09736515897354257,0.03254132856473729,-0.26476053785560166,0.6438007973814116
51,valid,-7.134634783134802,0.06185037369818803,0.14749595881150032,0.08492462846739304,0.05758478153036806,-0.04582551236703455,0.09338272718281079,0.023289837153225783,0.007781208767997299,-0.07211872278467318,0.6705799000034316
52,valid,-6.990627975873614,0.08497235792331333,0.13155624322697146,0.10674632680605142,0.05752277381461015,0.045515016432143666,0.2716400246713782,0.13344500137679727,0.028325471139348787,-0.06656406694252598,0.5674006855597588
53,valid,-7.077325586621355,0.11770782844377108,0.23236692662422498,0.10588251156917178,0.06598242070226562,0.06958330618880587,0.03306644606817329,0.2305391554898095,0.10026778018732868,-0.10155866063703077,0.5950681184598472
54,valid,-6.962518731767827,0.06755193616072383,0.30760079795348505,0.10667356797751372,-0.1490225603955679,0.01231174165141714,-0.07133354907993826,0.1761911470732989,0.20794438956063194,-0.2381502591675992,0.7033485539065719
55,valid,-7.141613926817958,0.1056769312683911,0.22149775210098172,0.14454285034001332,0.028148611519947745,0.016526897497899422,0.09722981191036209,0.24292394071588969,0.11757558573373131,-0.11384245948398222,0.6593258280330253
57,valid,-7.060151557319133,0.09554115912612474,0.21742660767544625,0.12430729586263087,0.048287393760352064,-0.013001222004580516,0.11239067818135791,0.16417453644313515,0.027176037320648605,-0.14184996641382708,0.6417440542693815
58,valid,-7.020016094744297,0.08964211116620983,0.4454514088860785,0.1056016786350014,-0.001884907582531488,-0.03927705795381477,0.06158808757879384,0.10752655071330423,-0.012667958565805533,-0.23526962205982305,0.6706385280878867
59,valid,-7.089011755060769,0.07086394251140005,0.3097625997474932,0.08957979908841592,0.19683216463415806,0.01642367567364637,0.02246515327752597,0.050842225309735437,0.022110076265366315,-0.14945673659318434,0.6743915883562006
60,valid,-7.051968814345451,0.08638650326037711,0.4245845664208014,0.12236262514306516,0.022214546657054052,-0.012349281377082265,0.013855596449344944,0.08081227971023501,0.02591631276374225,-0.21665081642338627,0.6727898240164911
61,valid,-7.125826038586216,0.08611376652290478,0.1469388332020869,0.14782975840891374,0.05967205557981469,-0.009894675595249909,0.14397914948941282,0.03453290999851933,0.00543434659054988,-0.08456309332429801,0.5947823766226977
