replication,status,const,GDP_PER_CAP,POP_2024,POP_DENSITY,FIBER_PER_100,LTE_ACCESS_PER_100,REGION_North,REGION_Northeast,REGION_South,REGION_Southeast
1,valid,-1.1753175922175547,0.8371433306014138,0.6727402476997395,-0.1383568806839341,0.15352944738864915,0.2961129080348401,-0.19499304638009482,-0.6488933298051277,-0.3464061631206803,0.2155417447801524
2,valid,-1.3171716646687035,0.8942877555981527,0.4464640473611292,-0.04019195730742552,0.2566764324413933,0.38221174512668976,-0.16214480295509287,-0.5994975110716091,-0.44549710860793845,-0.05852657841287847
3,valid,-1.2198686354145158,1.3086096607262883,0.5947558624705394,-0.04522071583045694,0.2619639804556578,0.22792613309589316,-0.13620452038232084,-0.4386082283869733,-0.04292464596586245,0.15715945951919266
4,valid,-1.8098209787741284,1.0562489877373507,0.9063126443021605,-0.1254284898217385,0.09945891959294428,0.4566478107552334,-0.31238048922852946,-0.5438385663877173,-0.45542713750647495,-0.4903717372451928
7,valid,-1.4846722917731718,0.8633552329602651,0.5581617943435412,-0.072082033077383,0.2659641514777469,0.426169876941411,-0.11414963500098971,-0.7797115563717991,-0.38613950220996823,0.019736821325545936
8,valid,-1.3778810906102625,1.0019297632656976,0.45389874873147157,-0.08527251570176045,0.07114526559428781,0.389013515761438,-0.17951276982988945,-0.5972195392285048,-0.8367703288658479,0.2733998619031036
9,valid,-1.278905959498937,1.3303785144229665,0.6522531766919525,-0.025246115801371004,0.23497268809035474,0.30202524608744924,-0.15642997056506727,-0.44161377136713054,-0.3236515760618192,0.06251308414584605
10,valid,-1.2792480112689977,0.7724307494926181,0.6319444964424085,-0.07292687267753217,0.21444912754529094,0.39740029226423346,-0.2092877429418909,-0.4725108640105688,-0.4771151913486577,0.03575147343918194
11,valid,-1.3503648256802225,0.8726739713863332,0.3215238722181998,-0.06295469289181323,0.10442952455996421,0.3405284702184408,-0.19599312937811314,-0.5174402886555703,-0.7901278879169674,0.2225441920770945
12,valid,-1.141003879821792,1.0547540904977752,0.3842851460154689,-0.03250061233248096,0.1829267417192054,0.32988831082022774,-0.19046318195822015,-0.36603942270104256,-0.4510807877687675,0.13160232132162492
13,valid,-0.9362728128168247,1.551766017036392,0.39730937989478293,-0.04165522320087553,0.1315206860245106,0.22637680615022965,-0.2874101336824055,-0.38074157873002173,-0.0019377799410522727,0.1561078396815026
14,valid,-1.167811017523774,0.7492861784569658,0.5926619808236151,-0.07274313029149755,0.30227563879276237,0.29573765519952167,-0.2592739742156583,-0.6930984451753744,-0.4200685089299985,-0.18263719116099494
15,valid,-1.3198888987325528,1.175624492395843,0.4914758965100986,-0.01382621906393624,0.15482282947279238,0.3690205774090131,-0.25659797913528065,-0.5639661010312506,-0.5602299598314848,-0.09621566403207445
16,valid,-1.3620036586107278,0.9097420355371687,0.41592327387887995,0.018394896054886766,0.30705467200210296,0.33177068920766367,-0.19094395129542086,-0.5068657644777149,-0.2382292211993029,-0.15412046464149468
17,valid,-1.3920513073437657,0.602192187279581,0.5478221370706305,-0.0676616611922897,0.2667105246770885,0.4827228183439851,-0.23432565149155013,-0.6896603481351843,-0.5938809352932007,0.10232438796975628
18,valid,-1.1666293011287432,1.1922904910977992,0.550784689380502,-0.08741083829749786,0.23632884012410457,0.16514697814725135,-0.09513023812860814,-0.5874135346711213,-0.026837564755985286,0.22831257320249168
19,valid,-1.4646173774802296,0.6885486264853468,0.5440938403049561,-0.08095914465407372,0.17408590330618903,0.436604888487441,-0.1677888014908043,-0.49596006312137064,-0.48407104038075766,0.08803737135898114
20,valid,-1.163397713115993,0.9384471682132517,0.48156636604999287,-0.0466868077621041,0.30305768359559854,0.2759569761057497,-0.1818793960868018,-0.4899691624279061,-0.29667045480925797,0.011208179887150086
21,valid,-1.1691797769970584,0.8202593102433745,0.453558547640652,-0.10732272300300076,0.17433911374062983,0.302298399332211,-0.14175825076385218,-0.453542753615101,-0.2794926521055977,0.3256822248161415
22,valid,-1.5401505356328646,1.2019993554104558,0.4038541164753299,-0.015654568067616913,0.13841515266833998,0.42014706547779856,-0.27483333917428754,-0.5737079538693336,-0.9936830866265676,-0.036762093846318476
23,valid,-1.6049315321852478,0.8821044436701216,0.6081087695771835,-0.18907469630059198,0.1492369349992801,0.4274556390612761,-0.20427546356305185,-0.5414168983873321,-0.4043854076272826,-0.14581367249856048
24,valid,-1.5951752863183553,1.1781275126625805,0.24491468129121316,0.27829562533580254,0.22414060981228387,0.538940797696865,-0.20484617550336673,-0.5427706942439615,-1.039757155512132,-0.20674654525223277
25,valid,-1.0620067631817434,1.099506933304879,0.3977407287607499,-0.06434873823898808,0.1767020321887149,0.2448058248369273,-0.16350176742166947,-0.46991130695892647,-0.15362800570135943,0.15972341928488332
26,valid,-1.7623066363962578,0.8113128633212076,0.6781681650283925,-0.14058026161261142,0.1378825648004687,0.4743836301238352,-0.11421533525402314,-0.5247600504698838,-0.41856896396019616,-0.429516389981133
27,valid,-1.0911552314190414,1.5476601049525864,0.5271990203639823,-0.0668966646478979,0.16659122270709414,0.3114703295396576,-0.07841919038592128,-0.3908226626851142,0.07660960650858345,0.12749862409631332
28,valid,-1.1674829363843977,1.2212984896797243,0.3635812682090161,-0.04545071147910492,0.1641615810996608,0.35579432219108975,-0.11837319886493385,-0.5749468910839245,0.062363009565384334,0.07229480858405792
29,valid,-1.251631607269352,1.3720752129272447,0.5344386834569175,-0.06208268231998083,0.2048388471711762,0.23115542835549055,-0.13870916686346765,-0.4781791456656896,-0.21540695574383348,0.12700273485335295
30,valid,-1.5972226923260153,0.9388290091330567,0.5444135808018953,-0.06590576526591112,0.2782000435795114,0.2797120934292884,-0.18678941754596018,-0.43454320320778345,-0.2812693908420668,-0.47997042804959167
31,valid,-1.348512328894297,0.950348702022473,0.5085848975976821,-0.04094951357001083,0.21951738886731742,0.411767358751575,-0.2706732636272621,-0.7385843293349201,-0.51834412742985,-0.1257010355064284
32,valid,-1.3286231146464358,1.1778884836553563,0.5312317078342033,0.02778885947398952,0.257538213799655,0.32140596506180463,-0.1533192272575971,-0.42680298358639096,-0.3102622139182357,-0.05482367603093641
33,valid,-1.5567888199166149,0.9641119559227586,0.6210522470306239,-0.17617761460353515,0.1589061146754309,0.43908690447982374,-0.11592273907659693,-0.5158978740272052,-0.3317946420318869,-0.017861295494091024
34,valid,-1.3720645448451838,0.7743102381036786,0.4636330064902676,-0.017298949126820878,0.35898977101895935,0.29784615054171687,-0.2884940859525338,-0.7669039507815132,-0.4370218974883378,-0.3943339853690994
35,valid,-1.750230334565479,1.1275895201268784,0.6456033401750604,-0.061529623216326323,0.19014934037966633,0.4097559370781657,-0.25749980237328157,-0.8908217259157188,-0.987759423274309,-0.08073615482284435
36,valid,-1.7571972820283288,0.7678331473136335,0.4040573712946174,-0.02247930843281311,0.25811765453630287,0.44866681841957484,-0.3693864900415782,-0.6760357339979005,-0.6421037748734583,-0.8144864231256177
37,valid,-1.4185232686657245,1.1164172087493307,0.5563040417726093,-0.1986519670515035,0.2193787823358844,0.2824595740996609,-0.12504853333299132,-0.46132465165110004,-0.14540806391274555,-0.12064515120959855
