,GDP_PER_CAP,POP_DENSITY,FIBER_PER_100,LTE_ACCESS_PER_100,NR_ACCESS_PER_100,AVG_DL_SPEED
0,47958.6,419.6,155.4,78.0,29.2,64.4
1,29300.4,29.9,82.8,76.6,0.7,38.0
