source_id,publisher,description,analysis_role,assurance_before_refresh,filename,direct_url,landing_url,status,download_message,validation,content_type,size_bytes,size,sha256,zip_member_count,zip_members_preview,candidate_header,json_record_count,json_keys_preview,historical_same_name_files,historical_hash_match,repository_copy,retrieved_at_utc
anatel_mobile_accesses_smp,Anatel,Mobile accesses / SMP by technology,LTE_ACCESS_PER_100 and NR_ACCESS_PER_100 source family,B,acessos_telefonia_movel.zip,https://www.anatel.gov.br/dadosabertos/paineis_de_dados/acessos/acessos_telefonia_movel.zip,https://dados.gov.br/dados/conjuntos-dados/acessos-autorizadas-smp,existing_valid,,valid ZIP archive,,3188922526,2.97 GB,91c6230339238114d8edec4be3d4e5e25246c2d1910fbd1db76f496ab9bad69a,42,Acessos_Telefonia_Movel_2005-200901_Modalidade_Colunas.csv | Acessos_Telefonia_Movel_2005-200901_Tecnologia_Colunas.csv | Acessos_Telefonia_Movel_2005-2018_Modalidade.csv | Acessos_Telefonia_Movel_2005-2018_Tecnologia.csv | Acessos_Telefonia_Movel_200902-2018_Modalidade_Colunas.csv | Acessos_Telefonia_Movel_200902-2018_Tecnologia_Colunas.csv | Acessos_Telefonia_Movel_2019_1S.csv | Acessos_Telefonia_Movel_2019_1S_Colunas.csv | Acessos_Telefonia_Movel_2019_2S.csv | Acessos_Telefonia_Movel_2019_2S_Colunas.csv | Acessos_Telefonia_Movel_2020_1S.csv | Acessos_Telefonia_Movel_2020_1S_Colunas.csv | Acessos_Telefonia_Movel_2020_2S.csv | Acessos_Telefonia_Movel_2020_2S_Colunas.csv | Acessos_Telefonia_Movel_2021_1S.csv,CNPJ;Código Nacional;Modalidade de Cobrança;Empresa;Porte da Prestadora;Grupo Econômico;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01,,,,,/Users/ronypedroso/Downloads/brazil-cloud-native-telecom-capstone/data/raw/2026-09-13_refresh/acessos_telefonia_movel.zip,2026-09-14T02:22:22.432514+00:00
anatel_licensed_stations,Anatel,Licensed telecommunications stations / ERB,NR_STATION_CNT / NR_PER_100K_POP source family,B,estacoes_licenciadas.zip,https://www.anatel.gov.br/dadosabertos/paineis_de_dados/outorga_e_licenciamento/estacoes_licenciadas.zip,https://dados.gov.br/dados/conjuntos-dados/outorga-e-licenciamento---estaes-licenciadas,existing_valid,,valid ZIP archive,,221790196,211.52 MB,1c32eea16487b3022c157d04861cdaad663e232bab69b184f28a380a75b20a4d,10,Estacoes_Banda_Larga_Fixa.csv | Estacoes_MMA.csv | Estacoes_Mosaico_STEL.csv | Estacoes_Radioamador.csv | Estacoes_SARC.csv | Estacoes_SER.csv | Estacoes_SLE.csv | Estacoes_SLP.csv | Estacoes_SME.csv | Estacoes_Telefonia_Fixa.csv,Tipo de Identificação;CNPJ ou CPF;Nome Entidade;Fistel do Serviço da Estação;Número da Estação;Nome Indicativo;Código e Nome do Serviço;Serviço;Número do Ato de RF;Origem;Data do Primeiro Licenciamento;Data do Último Licenciamento;Data de Validade da Estação;Status da Validade da Estação;Tipo Classe Estação;Classe Estação;Designação Emissão;Código do Tipo Antena;Polarização;Raio da Antena;Ganho da Antena (dB);Frente Costa da Antena (dBi);Ângulo de Meia Potência da Antena (graus);Ângulo de Elevação (graus);Azimute (graus);Altura da Antena (m);Frequência (MHz);Direção de Comunicação;CodSubfaixaAux;CodSubfaixa;Divisor Frequências;Divisor Frequências Centenas;Divisor Frequências Dezenas;Divisor Frequências Unidades;Código de Homologação da Antena;Código de Produto da Antena;Código de Homologação do Equipamento Transmissor;Código de Produto do Transmissor;Potência do Transmissor (W);Latitude (graus);Longitude (graus);UF;CodMunicipio;Código IBGE do Município;Endereço;Bairro;CEP,,,,,/Users/ronypedroso/Downloads/brazil-cloud-native-telecom-capstone/data/raw/2026-09-13_refresh/estacoes_licenciadas.zip,2026-09-14T02:22:22.705194+00:00
anatel_meu_municipio,Anatel,Meu Municipio municipal access/coverage infrastructure,FIBER_ACCESSES / FIBER_BACKHAUL source candidate,B,meu_municipio.zip,https://www.anatel.gov.br/dadosabertos/paineis_de_dados/meu_municipio/meu_municipio.zip,https://dados.gov.br/dados/conjuntos-dados/meu-municipio---acessos-e-cobertura-de-telecomunicacoes,existing_valid,,valid ZIP archive,,19117466,18.23 MB,21188c1aae5d7d4167c6c7e83bf37250a33d1027ae1ae20fff9c07902e293b57,2,Meu_Municipio_Acessos.csv | Meu_Municipio_Cobertura.csv,Ano;Mês;Acessos;Serviço;Densidade;Código IBGE;Município;UF;Nome UF;Região;Código Nacional,,,,,/Users/ronypedroso/Downloads/brazil-cloud-native-telecom-capstone/data/raw/2026-09-13_refresh/meu_municipio.zip,2026-09-14T02:22:22.730891+00:00
anatel_private_networks_slp,Anatel,Redes Privativas / SLP private-network source candidate,SLP_STATION_CNT / PRIVATE_5G_LIC candidate source,C,redes_privativas.zip,https://www.anatel.gov.br/dadosabertos/paineis_de_dados/outorga_e_licenciamento/redes_privativas.zip,https://dados.gov.br/dados/conjuntos-dados/outorga-e-licenciamento---atos-de-radiofrequncia,existing_valid,,valid ZIP archive,,186916366,178.26 MB,27db526b80cab22f93763d62e8c709985ec281e24938c36fccdaf5a5a2561688,2,AreasPrestacao_RedesPrivativas.csv | Autorizacoes_redesprivativas.csv,ID;UF;CO_MUNICIPIO_IBGE;Nome Município Ato;Tipo de Área de Prestação,,,,,/Users/ronypedroso/Downloads/brazil-cloud-native-telecom-capstone/data/raw/2026-09-13_refresh/redes_privativas.zip,2026-09-14T02:22:22.957724+00:00
anatel_mobile_speed_qoe,Anatel,Measured mobile QoE / download-speed source candidate,AVG_DL_SPEED candidate source,C,medidas_qoe_smp.zip,https://www.anatel.gov.br/dadosabertos/paineis_de_dados/qualidade/medidas_qoe_smp.zip,https://dados.gov.br/dados/conjuntos-dados/qualidade---medidas-de-velocidade---telefonia-movel,existing_valid,,valid ZIP archive,,1000842890,954.48 MB,0c21bbceaae27441cd01798589e0aa30cb719d3e8f9331bdbed82d2c4e2583aa,1,Dados_QoE.csv,ID MEDIDA;PERIODO;DATA HORA;PRESTADORA;CODIGO IBGE;MUNICIPIO;UF;TECNOLOGIA;LATITUDE;LONGITUDE;VELOCIDADE_DOWNLOAD;VELOCIDADE_UPLOAD,,,,,/Users/ronypedroso/Downloads/brazil-cloud-native-telecom-capstone/data/raw/2026-09-13_refresh/medidas_qoe_smp.zip,2026-09-14T02:22:24.188536+00:00
anatel_mobile_download_map,Anatel,Alternative Anatel mobile download-map source candidate,Alternative candidate for AVG_DL_SPEED,C,mapa_download_smp.zip,https://www.anatel.gov.br/dadosabertos/paineis_de_dados/qualidade/mapa_download_smp.zip,https://dados.gov.br/dados/conjuntos-dados/qualidade---mapa---download---telefonia-movel,existing_valid,,valid ZIP archive,,11301113,10.78 MB,186dbaa66565b35ba664dad63e9b258f575a2d6c171dd96a5ddb602610b73e76,1,Dados_QoE_Consolidado.csv,Período;Prestadora;Tecnologia;Velocidade Download;Nº de Testes;Faixa Nº de Testes;Cor do Polígono;UF;Município;Código IBGE;Centro do Polígono,,,,,/Users/ronypedroso/Downloads/brazil-cloud-native-telecom-capstone/data/raw/2026-09-13_refresh/mapa_download_smp.zip,2026-09-14T02:22:24.206273+00:00
ibge_sidra_4714_census2022,IBGE/SIDRA,"Census 2022 population, area and demographic density",POP_CENSUS_2022 / AREA_KM2 / POP_DENSITY,A,sidra_4714_2022.json,"https://apisidra.ibge.gov.br/values/t/4714/n6/all/v/93,6318,614/p/2022?formato=json",https://sidra.ibge.gov.br/tabela/4714,existing_valid,,valid JSON,,3231502,3.08 MB,818ab99e15b87408fd9e2240a9b73a510721498e4300b2ada61bf90b0ee77ade,,,,16711,"NC, NN, MC, MN, V, D1C, D1N, D2C, D2N, D3C, D3N",,,/Users/ronypedroso/Downloads/brazil-cloud-native-telecom-capstone/data/raw/2026-09-13_refresh/sidra_4714_2022.json,2026-09-14T02:22:24.277738+00:00
ibge_sidra_6579_population2024,IBGE/SIDRA,"Estimated resident population by municipality, 2024",POP_2024 source family,A,sidra_6579_2024.json,https://apisidra.ibge.gov.br/values/t/6579/n6/all/v/all/p/2024?formato=json,https://sidra.ibge.gov.br/tabela/6579,existing_valid,,valid JSON,,1035032,1010.77 KB,a2b62956c5a7070606e7d323208a9a305e8a3b37799150462fe8c5de639f386d,,,,5572,"NC, NN, MC, MN, V, D1C, D1N, D2C, D2N, D3C, D3N",,,/Users/ronypedroso/Downloads/brazil-cloud-native-telecom-capstone/data/raw/2026-09-13_refresh/sidra_6579_2024.json,2026-09-14T02:22:24.297946+00:00
ibge_sidra_5938_pib2023,IBGE/SIDRA,"Municipal GDP / PIB dos Municipios, 2023 current release",PIB_MIL_REAIS / GDP_PER_CAP source family,B,sidra_5938_2023.json,https://apisidra.ibge.gov.br/values/t/5938/n6/all/v/all/p/2023?formato=json,https://sidra.ibge.gov.br/tabela/5938,existing_valid,,valid JSON,,1104316,1.05 MB,8d05b2a042b8c8d4eb4bf5a34f291166210f2742a066158a572e06e0d9321ff3,,,,5571,"NC, NN, MC, MN, V, D1C, D1N, D2C, D2N, D3C, D3N",,,/Users/ronypedroso/Downloads/brazil-cloud-native-telecom-capstone/data/raw/2026-09-13_refresh/sidra_5938_2023.json,2026-09-14T02:22:24.315804+00:00
